id,zhh,zhh_pron,alias_zhh,chs,en,note_chs,note_en,variants_chs,variants_en
L1,揼波鐘,dam1 bo1 zung1,揼時間；拖延時間​；捱時間；拖拖拉拉；磨时间,拖延时间/耽误时间/磨洋工,Delaying/Wasting time,磨洋工，不在积极，故意拖长时间，,"Slow down and waste time",你干活要麻利一些，不要老是浪费时间,You need to be more efficient at your work and stop wasting time.
L2,揼嘢,dam1 laap6 saap3,掟嘢；掉嘢,扔/丢东西,Throwing things,扔东西，往外扔，有力量,"Throwing things, throwing them outwards, has power.",她/他把我雪糕丢掉了,She/He threw away my ice cream.
L3,飛啲嘢埋嚟,fei1 go3 bo1 maai4 lai4,飛啲嘢過嚟；車埋嚟,扔/丢东西过来,"Throw/Toss it over here, quick!",用很快速度扔了过来，已经进行中，在空中,"It was thrown over at high speed; it was already in progress, in the air.",扔双拖鞋过来,Throw a pair of slippers over
L4,𢫨,ung2,㧬；擁；Ong,推,push,推动 吴卓羲标志名言“唔好ong”，不要推的意思,"The meaning of ""push""",不要/别推我,Don't push me.
L5,推車,teoi1 ce1,摆档；摆档摊；走鬼,摆摊/街边摊/路边摊,set up a stall/stand,路边摊、摆摊的意思,meaning roadside stall or vendor.,摆地摊,set up a stall
L6,死雞撑飯蓋,sei2 gai1 caang3 faan6 goi3,死顶；唔认输；死雞撑；死要面,不服输/明知错不认/爱面子,The dead chicken forcing thelid of the rice pot open,歇后语；不服输，明知自己错了，但为了面子都要装没事、不认错，给人看穿了都不认。,To refuse toadmit one's mistake evenwhen it is obvious,而「死鸡撑饭盖」就是指明知自己做错了，也仍要死撑下去，目的只是为了一个下台阶，可惜每次都会被人拆穿谎言。,"The idiom ""a dead chicken trying to hold up a rice lid"" means that even though you know you've done something wrong, you still stubbornly insist on doing it, just to save face. Unfortunately, your lies are always exposed."
L7,𠮩𠹌,liu1 lang1,𠵇𠺫；撩棱；捞绞；騎呢 ；旖旎；古怪；騎呢古怪；怪鸡,刁钻/怪异/不常见/稀奇古怪,uncommon/ rare and strange ,麻烦复杂难搞，刁钻，奇怪,rare and strange,这么奇怪/蛮奇怪的,It's so weir
L8,噉, gam2 ,噉樣,这样/那样/地/那,In this way/in that way,具体的方式、那样；描述事件、动作的状态,"The specific method, that way; describing the state of events and actions.",这样+adj/adv；摆在形容词前面,"This way, add adj/adv;Placed before the adj"
L9,咁, gam3,咁犀利；咁劲；,这么/那么,like this/so,表达一个程度,"expressing a degree, modifying adjectives or verbs.",这么+adj/v；摆在形容词动词前面,So + adj/v; placed before adj and v
L10,點樣,dim2 joeng2,點；點樣；點撚樣；點樣樣；點鬼樣,怎么样/如何/怎样,how/what way,指​一樣​事情的做法​、​行行动的方式,"usually added in front of a verb to ask how something is / should be done) how to; what",我应该怎么做,What should I do?
L11,緊要,gan2 jiu3,要緊；关键；交關,要紧/重要,crucial/important/vital,意义或价值重大，非常之值得或需要注意，甚至不能够缺乏；可以造成深远影响,crucial; important; vital,不是吧，需要这么夸张吗？；这里“紧要”可以翻译成“夸张”,"Seriously? Does it really need to be this exaggerated? (Here, ""critical"" can be translated as ""exaggerated"".)"
L12,咁上下,gam3 soeng6 haa2,差唔多；左右,达到一定水平/差不多/大致上,nsignificant/unassuming/ordinary/mediocre,达到一定水平,to describe something that reaches a certain standard or level,将就一下，差不多也就这样,"This is about right, just make do."
L13,咁大隻蛤乸隨街跳,gam3 daai6 zek3 gaap3 naa2 ceoi4 gaai1 tiu3,咁抵？；坚唔坚啊？；咁好死？；咁着數？,沒有免费的午餐/不合理/不敢相信/疑点重重,There's no such thing as a free lunch/It's not that simple.,歇后语；反问句，世界上不会有这么好的事、,"a rhetorical question suggesting that a deal is too good to be true, literally meaning ""why would there be such a big toad hopping around the street?""",遇到不合理的情况，无法想象是真的，对此描述,"Encountering unreasonable situations, it's unimaginable that they are real; this description..."
L14,咁啱得咁橋, gam3 ngaam1 dak1 gam3 kiu2,咁啱得咁蹺；咁啱；咁橋；咁錯蕩；啱啱遇著剛剛,真巧合/这么巧呀/不谋而合/湊巧/说多巧有多巧,coincidentally/fortuitously/by chance,歇后语；没有可以去做，偶尔发生,coincidentally; fortuitously; by chance,遇到巧合的情况，对此描述,"In cases of coincidence, describe this."
L15,咁多人死唔見你死,gam3 do1 jan4 sei2 m4 gin3 nei5 sei2 ,走開啦；行開啦,该死不死/应该去死,"Damn it, yet still alive",歇后语；用来骂人，暗指对方应该去死,"an insulting expression indirectly depicting one should be dead, ""still with us?""; literally: so many people have died, but I don't see you dying",用于对对方恨之入骨,Used to express intense hatred for someone.
L16,咁近城隍廟都唔求支好籤,gam3 kan5 sing4 wong4 miu2 dou1 m4 kau4 zi1 hou2 cim1,唔識把握機會；,不会把握机会,to fail to take advantage of an opportunity,歇后语；大神在旁边不会把握机会,to fail to take advantage of an opportunity,用于形容有捷径不走偏要辛苦自己,"It describes the situation where there are shortcuts, but instead of taking the wrong path, one has to work hard."
L17,㒼塞,gam3 daai6 go3 dou1 m4 faa3,食古不化；咁大個都唔化；點唔明；講唔通；硬頸,思想不开通/守旧的人,narrow-minded/conservatives,今浙江谓物无窍六为䓣不会泄气亦目䓣；,So old-fashioned,形容封闭不开窍，不通不化的老古板,"Describing someone as closed-minded, uninformed, and old-fashioned."
L18,失覺曬,sat1 gok3 saai3,唔好意思；對唔住；失禮曬,不好意思/失礼了,so sorry,谦虚时说的话；冒犯之后使用,Phrases used when being humble; Phrases used after an offense,原来你是背后老板，失礼了,"So you're the boss behind it all, my apologies."
L19,猛龍過江,maang5 lung4 gwo3 gong1,過江龍；捞过界,有能力到外/有本身到外,Ability to go to other places,象征有实力或魄力的人跨地域闯荡,It symbolizes a person with strength or courage who ventures across regions.,形容词；指有能力、有本事到外地去开创事业或参与竞争的人,Adjective; refers to someone who has the ability or skill to start a business or compete in other places.
L20,點賣,diǎn mài,幾錢；幾多錢；點計數；點計；幾蚊啊,怎么卖/多少钱/怎么算,how much,"多少钱,怎么算",how mach？,一般结账的时候可以询问,You can usually ask when checking out.
L21,點不知,dim2 bat1 zi1,出乎意料；誰不知；估唔到；點估到；點知；冇諗到；諗唔到,谁知道/哪知道/谁想到/没想到/怎麼知道/如何得知/不料/谁知/谁料到,unexpectedly/but/Who knows,意思是实际情况超出预先的估计或猜测,This means that the actual situation exceeded prior estimates or guesses.,原本还表示要竞选到底的他，后来却出乎意料地宣布退选。,"He had originally declared his intention to run to the end, but unexpectedly announced his withdrawal from the race."
L22,點收科,dim2 sau1 fo1,點算好；點好,怎么收场/怎么样才好/怎么救场/如何力挽狂澜,How to save the day/How to end it,怎么办/怎么样才好,what to do,,
L23,點綴,dim2 zeoi6,,点缀,to decorate/to adorn/,点缀,Embellished; Embellishment,,
L24,點止,dim2 zi2,唔指;唔淨指;边止;何止,不止/何止/哪儿止/哪止,not only,不止/何止/哪儿止/哪止,not only,,
L25,點講都,dim2 gong2 dou1,無論如何;點都好,不论怎么说/不管怎样/无论如何,No matter what/whatever/in any case,不论怎么说/不管怎样/无论如何,No matter what / whatever / in any case,,
L26,點餸 ,dim2 sung3,"點菜；點餐；點嘢；落單；
寫嘢；嗌嘢",点菜/点餐,to order,餐厅点菜,Ordering food at a restaurant,服务员，点餐,"Waiter, take your order"
L27,點係啊,dim2 hai6 aa3,點好意思啊;太客气啦,太客气了/怎么好意思呢,too kind,太客气了/怎么好意思呢/你破费了 我感觉不好意思,too kind,,
L28,點心車,dim2 sam1 ce1,推車點心；糕点車,点心车/小食车,dim sum cart,点心车/小食车；茶楼的文化遗产,dim sum cart；Cultural heritage of teahouses,,
L29,點錯相,dim2 co3 soeng3,認錯人,认错人/找错人,Mistaken identity,找错目标人物,"to pick out the wrong person for (usually for something bad, such as for revenge) [colloquial]",,
L30,點樣去？,dim2 joeng2 heoi3,點去？,怎么去,how to get there,怎么去？,how to get there？,,
L31,點到為止,dim2 dou3 wai4 zi2,點到即止,点到为止,Stop here,点到为止,to make a point without going into details,,
L32,點睇,dim2 tai2,有咩琳法;有何睇法,有何看法/有什么看法/有什么想法/怎么样/怎么看,how do you see this?,有何看法/有什么看法/有什么想法/怎么样/怎么看,What are your thoughts?,,
L33,點解,dim2 gaai2,何解；乜解究,为什么,why,,,询问,ask
L34,點話點好,dim2 waa6 dim2 hou2,隨你意思;你想點都得;點都得,怎么都可以/怎样说都可以/怎么说就怎么办,up to you/as you wish/whatever you say,随你意思，表示自己都可以,"""up to you""; ""as you wish""; ""whatever you say""",,
L35,點頭之交,dim2 tau4 zi1 gaau1,泛泛之交;普通朋友,普通朋友/没什么交集/泛泛之交,common friend / people with little interaction / casual acquaintances,不是很熟的朋友,common friend，nodding acquaintance,,
L36,點紅點綠,dim2 hung4 dim2 luk6,指點江山,存心误导人/忽悠,to mislead someone deliberately,存心误导導人,to mislead someone deliberately,,
L37,想點,soeng2 dim2,冧住點；想點樣；想點閪樣；想點撚樣,想怎么样/想怎样,What do you want/How do you want,想怎么样/想怎样；询问他人,What do you want/How do you want；Ask others,怎么打扮成这样，想怎么样,Why are you dressed like this? What are you trying to do?
L38,擗埋一二邊,pet6 maai4 jat1 ji6 bin6,擗埋一邊；放埋一邊；放埋一二邊,扔在一边/丢在一边/放在一边,set it aside/throw it aside/chuck it to one side/put it aside/toss it aside/brush it aside/shelve it aside,暂缓/搁置，比较随手；有方向性，复数表示本来也有,"Postponing/shelving is more flexible.；It has directionality, and complex numbers inherently also have this.",把事情放在一边；把书包扔在一边；先把难题放在一边,Put things aside;Throw the schoolbag aside; Let's put the difficult problems aside for now.
L39,揼埋一二邊,dam1 maai4 jat1 ji6 bin6,揼埋一邊,甩在一边,cast it aside/brush it aside,果断抛弃/摒弃，置之不理；有方向性，复数表示本来也有,"Decisively discard/abandon, ignore；It has directionality, and complex numbers inherently also have this.",把你的烦恼甩在一边,Leave your troubles behind.
