lexeme_id,ex_zhh,ex_chs,ex_en
L1,揼人波鐘,浪费别人时间,Wasting other people's time
L1,咪柒揼波鐘啦,不要浪费时间了,Don't waste your time.
L1,你做嘢爽手啲啦，唔好成日揼波钟,你干活要麻利一些，不要老是浪费时间,You need to be more efficient at your work and stop wasting time.
L2,揼咗啲嘢佢,把它扔了,Throw it away
L2,咪揼過嚟,不要扔过来，带力度,Don't throw it at me.sense of power
L2,咪掟我,不要用力扔我,Don't throw me hard.
L2,唔好掉鸠我,不要向我方向扔,Don't f*cking throw me away.
L2,揼埋一二邊,扔在一边，随意不经意扔，带力度,Put aside，set aside，sense of power
L2,佢揼咗我杯雪糕,她/他把我雪糕丢掉了,She/He threw away my ice cream.
L2,做乜揼晒佢嗟,干嘛全扔掉,Why throw it all away?
L3,掟個波埋嚟,投了个球类过来我这里；特指投射动作,He threw a ball to me; specifically referring to the action of throwing.
L3,飛個波埋嚟,扔个球类过来我这里；已经进行中，在空中,"Throw a ball over here; it's already in progress, in the air."
L3,飛咗啲乜嘢埋嚟,扔了什么东西过来,What was thrown over?
L3,飛對拖鞋埋嚟,扔双拖鞋过来,Throw a pair of slippers over
L3,弹啲Job過嚟,扔点工作过来,Give me a Job
L3,一嘢車個波埋嚟,一下扔个球过来我这里；形容速度好像跑车那么快,He threw a ball right at me; the speed was like a sports car.
L3,一嘢車落塊面度,扇了我一巴掌,He slapped me
L4,唔好𢫨,不要推,Don't push
L4,咪𢫨,别推,Don't push
L4,冇閪𢫨,别他妈推,Don'tf*cking push me
L4,咪柒𢫨/咪撚𢫨,别他妈推,Don'tf*cking push me
L4,𢫨你条撚,推你妈/推你个锤子,Stop f*cking pushing me.
L4,𢫨你个屄啊𢫨,推你妈/推你个锤子,Stop f*cking pushing me.
L4,𢫨乜撚啊,推什么推,Why are you pushing me?
L4,𢫨我托啊/𢫨我托柒啊,我干嘛,Why are you pushin g me?
L4,𢫨乜柒啊/𢫨乜撚啊,推什么推,Why are you pushing me ?
L4,再𢫨我你就屄,再推我你就死定了,Push me again and you're
L4,𢫨開,推开,to push aside
L4,神推鬼𢫨,有一种难以解释的冲动去做某事。,to have an inexplicable drive to do something
L4,𢫨你老母,推你妈,f*ck your mother
L4,𢫨佢落山,拖他/她下山,drag him/her down the mountain
L5,手推车,手推车,a trolley
L5,推車仔/走鬼,小贩,cart
L5,擺檔/擺檔口,摆摊,setting up a stall to do business
L5,走鬼檔,摆地摊,set up a stall
L6,死撑,錯了或沒能力情況下，仍然強硬地堅持不認輸或不承認錯，帶固執、不願罷休,Even when lacking the ability they stubbornly refused to admit defeat.
L6,死要面,爱面子,Save face save 
L6,唔输得,不服输,not to be outdone
L7,咁撚奇撚怪？,怎么这么奇怪,Why is this so strange?
L7,呢個打扮夠晒旖旎,这个穿搭足够奇怪,This outfit is strange enough.
L7,乜你咁撈絞咖,怎么你这么乱糟糟,Why are you so messy?
L7,你有少少旖旎,你有一点奇怪的癖好,You have a few strange quirks
L8,係噉嘅…,是这样的…, in this way
L8,噉呀~噉好啦~,这样啊~那好吧,"well~then,ok~"
L8,點解會係噉嘅？,为什么会这样,Why is this happening?
L8,噉样嘅话咪好蚀底咯,这样的话岂不是很吃亏,Wouldn't that be a huge loss?
L8,一啖噉吞落去,一口吞下去,Swallow in one gulp
L8,噉都得？,这样也可以？,Is this okay?
L8,幾得意噉喎,好像挺可爱, It seems interesting.
L8,幫我食噉啲飯吖,你能帮我把剩下的米饭吃完吗,Could you help me finish up my serving of rice?
L8,而家已經走噉啲人喇,已经有不少人开始离开了。,A number of people already start leaving.
L8,着到成隻雀噉,衣着考究；字面意思：穿得像只鸟,to be well-dressed; literally: to wear like a bird
L8,四萬噉口 ,用来形容一张笑容灿烂的脸,used to describe a broadly smiling face
L8,佢對我咁好，噉我喺咪要嫁俾佢？,他对我这么好，那么我是要嫁给他？,"He's so good to me, so should I marry him?"
L8,大聲噉講嘢,说话很大声,Speaking very loudly
L8,喂，你唔好噉喔,喂，你别这样啊,"Hey, please don't do this."
L8,少噉個位,仍然缺少座位,still to lack a seat
L8,噉即唔係,那就不是,That's not it.
L8,噉又唔得,那又不行,That won't work.
L8,噉好咯,那好吧,okay!
L8,噉又係,那样也是；这样也对                              ,That's also
L9,佢對我咁好，噉我喺咪要嫁俾佢？,他对我这么好，那么我是要嫁给他？,"He's so good to me, so should I marry him?"
L9,咁便,这么便宜,So cheap
L9,咁贵嘅？,这么贵的？,So expensive?
L9,咁靓仔,这么帅,So handsome
L9,傻到閪咁,你这个做法太愚蠢了，我拿你没办法了,That's so stupid.
L9,烦到閪咁,现在很烦恼，不知道该怎么办,I'm really troubled right now and I don't know what to do.
L9,捞到閪咁,感觉你很土，很非主流又低俗,So cheap
L9,咁啊,这样啊；一般说完在思考,"I know,I know; usually, one thinks after speaking."
L9,做乜咁嗟,干嘛这样,Why do this?
L9,做乜咁嘅,怎么这样,How could this be?
L9,猛咁𢫨,使劲推,Push hard
L9,咁啱得咁橋,真巧合；这么巧合,coincidentally; fortuitously; by chance
L9,咁多人嘅？,怎么这么多人？,Why is it so crowded?
L9,人情紙咁薄,人与人之间的关系中，人性的尊严十分罕见；毫不夸张地说，“人性的尊严薄如纸”,"human decency is rare in relationships between people; literally ""human decency is as thin as paper"
L9,七國咁亂 ,一片混乱；彻底的混乱；字面意思：如同七国时代般混乱。,?in a total mess; in total chaos; literally: as chaotic as the Seven Warring States
L9,鬼火咁靚,看起来美极了,looks stunning 
L9,咁大隻蛤乸隨街跳,不合理，不敢相信，,something too good to be true
L9,咁耐以嚟,这么久以来；到目前为止；直到现在,so far; until now
L9,嗰碌棍好似青瓜咁粗,那根棍子像黄瓜一样粗。,That stick was as thick as a cucumber.
L9,咁惊做咩嗟,这么怕干嘛,Why are you so afraid?
L10,咁你想我點呀？,你想我怎样？,So what do you want me to do?
L10,噉點得啊,这怎么行,This won't do.
L10,佢生得點呀,他/她长成什么样,What does he/she look like?
L10,點算好；點好,怎办才好,What should I do?
L10,點话點好,你说什么就什么,Whatever you say.
L10,噉點呀？,那又怎么样？；不礼貌很拽,okay
L10,點都得,怎么样都可以,Anything ok
L10,點係啊,不敢当,"an expression of courtesy used when someone has done something for you, similar to saying ""it is very nice of you""; ""I don't deserve it""; ""you shouldn't have"""
L10,件衫點著,这件衣服怎么穿,How to wear this outfit?
